Cycle,Location,Z_stack,Channel,Marker,Path,Path_corrected
Cycle1,1,8,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z008_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_8_Cycle1_Phalloidin.tiff
Cycle1,1,8,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z008_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_8_Cycle1_WGA.tiff
Cycle1,1,9,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z009_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_9_Cycle1_Hoeschst.tiff
Cycle1,1,9,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z009_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_9_Cycle1_Phalloidin.tiff
Cycle1,1,9,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z009_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_9_Cycle1_WGA.tiff
Cycle1,1,10,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z010_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_10_Cycle1_Hoeschst.tiff
Cycle1,1,10,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z010_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_10_Cycle1_Phalloidin.tiff
Cycle1,1,10,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw1\1_00001_Z010_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\1_10_Cycle1_WGA.tiff
Cycle1,2,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z001_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle1_Hoeschst.tiff
Cycle1,2,1,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle1_Phalloidin.tiff
Cycle1,2,1,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z001_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_1_Cycle1_WGA.tiff
Cycle1,2,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle1_Hoeschst.tiff
Cycle1,2,2,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle1_Phalloidin.tiff
Cycle1,2,2,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z002_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_2_Cycle1_WGA.tiff
Cycle1,2,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z003_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_3_Cycle1_Hoeschst.tiff
Cycle1,2,3,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z003_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_3_Cycle1_Phalloidin.tiff
Cycle1,2,3,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z003_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_3_Cycle1_WGA.tiff
Cycle1,2,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z004_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_4_Cycle1_Hoeschst.tiff
Cycle1,2,4,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z004_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_4_Cycle1_Phalloidin.tiff
Cycle1,2,4,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z004_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_4_Cycle1_WGA.tiff
Cycle1,2,5,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z005_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_5_Cycle1_Hoeschst.tiff
Cycle1,2,5,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z005_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_5_Cycle1_Phalloidin.tiff
Cycle1,2,5,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z005_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_5_Cycle1_WGA.tiff
Cycle1,2,6,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z006_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_6_Cycle1_Hoeschst.tiff
Cycle1,2,6,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z006_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_6_Cycle1_Phalloidin.tiff
Cycle1,2,6,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw2\1_00001_Z006_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\2_6_Cycle1_WGA.tiff
Cycle1,3,1,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z001_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_1_Cycle1_Hoeschst.tiff
Cycle1,3,1,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z001_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_1_Cycle1_Phalloidin.tiff
Cycle1,3,1,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z001_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_1_Cycle1_WGA.tiff
Cycle1,3,2,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z002_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_2_Cycle1_Hoeschst.tiff
Cycle1,3,2,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z002_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_2_Cycle1_Phalloidin.tiff
Cycle1,3,2,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z002_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_2_Cycle1_WGA.tiff
Cycle1,3,3,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z003_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_3_Cycle1_Hoeschst.tiff
Cycle1,3,3,CH3,Phalloidin,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z003_CH3.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_3_Cycle1_Phalloidin.tiff
Cycle1,3,3,CH4,WGA,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z003_CH4.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_3_Cycle1_WGA.tiff
Cycle1,3,4,CH1,Hoeschst,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\raw\Lg_Cycle1_40x_1214_Aw3\1_00001_Z004_CH1.tif,Y:\coskun-lab\Thomas\Spatial signaling pathway\data\processed\3_4_Cycle1_Hoeschst.tiff
